instance	k	algorithm	evaluations	value	time	steps
G62.01	4	ES	10578	3.0	0.24743127822875977	13
G62.01	4	EPNES	3861	5.0	0.12585878372192383	14
G62.01	4	EPNES	3351	3.0	0.1046152114868164	11
G62.01	4	EPNES	4500	3.0	0.13666009902954102	15
G62.01	4	EPNES	4712	2.0	0.1840205192565918	19
G62.01	4	EPNES	3850	4.0	0.13597559928894043	19
G62.01	4	EPNES	4061	4.0	0.1360025405883789	13
G62.01	4	EPNES	3771	2.0	0.12088894844055176	20
G62.01	4	EPNES	6428	2.0	0.1680006980895996	12
G62.01	4	EPNES	7629	2.0	0.48654866218566895	17
G62.01	4	EPNES	6173	2.0	0.19066500663757324	14
G62.02	2	BF	3779	4.0	0.11199808120727539	14
G62.02	2	BF	2876	3.0	0.0800023078918457	16
G62.02	2	BF	3381	2.0	0.10399746894836426	16
G62.02	2	BF	3502	3.0	0.07200288772583008	16
G62.02	2	BF	3413	3.0	0.08471274375915527	16
G62.02	2	BF	3165	6.0	0.11294388771057129	12
G62.02	2	BF	2867	3.0	0.0980224609375	7
G62.02	2	BF	3652	2.0	0.10032176971435547	16
G62.02	2	BF	3856	3.0	0.1065680980682373	14
G62.02	2	BF	2646	3.0	0.05601906776428223	14
G62.02	2	G	7696	4.0	0.19997787475585938	6
G62.02	2	G	8658	1.0	0.2239973545074463	7
G62.02	2	G	9620	3.0	0.2808868885040283	8
G62.02	2	G	9620	4.0	0.31142187118530273	8
G62.02	2	G	8658	3.0	0.22608661651611328	7
G62.02	2	G	8658	3.0	0.2044210433959961	7
G62.02	2	G	9620	4.0	0.2560000419616699	8
G62.02	2	G	9620	2.0	0.2400224208831787	8
G62.02	2	G	6734	5.0	0.17599940299987793	5
G62.02	2	G	8658	1.0	0.18397831916809082	7
G62.02	2	EBF	2835	4.0	0.05602145195007324	10
G62.02	2	EBF	2820	6.0	0.08797764778137207	11
G62.02	2	EBF	3477	4.0	0.11202192306518555	15
G62.02	2	EBF	4095	2.0	0.2960038185119629	17
G62.02	2	EBF	3577	5.0	0.27199864387512207	15
G62.02	2	EBF	2696	6.0	0.11999249458312988	11
G62.02	2	EBF	2878	2.0	0.08000063896179199	16
G62.02	2	EBF	2842	3.0	0.10399770736694336	12
G62.02	2	EBF	2943	4.0	0.08000421524047852	17
G62.02	2	EBF	3093	3.0	0.07999706268310547	11
G62.02	2	EG	8658	3.0	0.24062657356262207	7
G62.02	2	EG	6734	2.0	0.16802453994750977	5
G62.02	2	EG	8658	4.0	0.21597838401794434	7
G62.02	2	EG	8658	2.0	0.20799589157104492	7
G62.02	2	EG	7696	4.0	0.22400212287902832	6
G62.02	2	EG	9620	3.0	0.23999691009521484	8
G62.02	2	EG	7696	1.0	0.2000267505645752	6
G62.02	2	EG	8658	5.0	0.20797324180603027	7
G62.02	2	EG	11544	1.0	0.33600473403930664	10
G62.02	2	EG	7696	6.0	0.20800352096557617	6
G62.02	2	ES	4439	2.0	0.159074068069458	14
G62.02	2	ES	43410	15.0	1.4479963779449463	7
G62.02	2	ES	3631	2.0	0.09600448608398438	14
G62.02	2	ES	15165	3.0	0.6560039520263672	13
G62.02	2	ES	3019	3.0	0.08799886703491211	13
G62.02	2	ES	55812	16.0	1.8019039630889893	9
G62.02	2	ES	3108	4.0	0.08002495765686035	13
G62.02	2	ES	15090	2.0	0.4319751262664795	14
G62.02	2	ES	14441	4.0	0.42276573181152344	5
G62.02	2	ES	2625	3.0	0.056023597717285156	14
G62.02	2	EPNES	2582	3.0	0.06402325630187988	17
G62.02	2	EPNES	3499	4.0	0.10397982597351074	16
G62.02	2	EPNES	2667	5.0	0.08802080154418945	11
G62.02	2	EPNES	3169	3.0	0.09599947929382324	17
G62.02	2	EPNES	2844	5.0	0.08000016212463379	9
G62.02	2	EPNES	2608	5.0	0.09597492218017578	13
G62.02	2	EPNES	3641	2.0	0.13601183891296387	22
G62.02	2	EPNES	3228	3.0	0.11999344825744629	19
G62.02	2	EPNES	2551	4.0	0.0879974365234375	15
G62.02	2	EPNES	2949	5.0	0.08000063896179199	10
G62.02	3	BF	6061	2.0	0.15199923515319824	20
G62.02	3	BF	4782	3.0	0.12000060081481934	18
G62.02	3	BF	3866	7.0	0.0879981517791748	16
G62.02	3	BF	6437	4.0	0.2160048484802246	19
G62.02	3	BF	4546	4.0	0.1600053310394287	16
G62.02	3	BF	3815	6.0	0.11198639869689941	22
G62.02	3	BF	4210	3.0	0.24913358688354492	20
G62.02	3	BF	4408	7.0	0.11200094223022461	19
G62.02	3	BF	5674	4.0	0.21600103378295898	18
G62.02	3	BF	5001	5.0	0.21599888801574707	21
G62.02	3	G	13240	6.0	0.3520207405090332	8
G62.02	3	G	10592	4.0	0.26399970054626465	6
G62.02	3	G	13240	6.0	0.3119840621948242	8
G62.02	3	G	14564	4.0	0.3520164489746094	9
G62.02	3	G	14564	5.0	0.3679800033569336	9
G62.02	3	G	13240	8.0	0.37599897384643555	8
G62.02	3	G	17212	6.0	0.49695491790771484	11
G62.02	3	G	10592	7.0	0.2719724178314209	6
G62.02	3	G	10592	8.0	0.26400303840637207	6
G62.02	3	G	13240	5.0	0.3120238780975342	8
G62.02	3	EBF	5726	6.0	0.1679997444152832	15
G62.02	3	EBF	8734	2.0	0.22397708892822266	24
G62.02	3	EBF	4775	6.0	0.12000012397766113	13
G62.02	3	EBF	3552	6.0	0.10402488708496094	15
G62.02	3	EBF	5043	9.0	0.12800097465515137	13
G62.02	3	EBF	4514	7.0	0.11199736595153809	15
G62.02	3	EBF	4166	8.0	0.09599947929382324	19
G62.02	3	EBF	5007	3.0	0.12000107765197754	22
G62.02	3	EBF	5239	5.0	0.12800192832946777	14
G62.02	3	EBF	7044	6.0	0.20000004768371582	14
G62.02	3	EG	17212	6.0	0.5919175148010254	11
G62.02	3	EG	11916	7.0	0.3040192127227783	7
G62.02	3	EG	15888	8.0	0.391970157623291	10
G62.02	3	EG	13240	8.0	0.3120286464691162	8
G62.02	3	EG	14564	6.0	0.3680000305175781	9
G62.02	3	EG	15888	5.0	0.39197754859924316	10
G62.02	3	EG	15888	6.0	0.38524937629699707	10
G62.02	3	EG	14564	5.0	0.35198163986206055	9
G62.02	3	EG	17212	4.0	0.4880220890045166	11
G62.02	3	EG	14564	3.0	0.3439943790435791	9
G62.02	3	ES	4438	5.0	0.09600114822387695	17
G62.02	3	ES	9582	10.0	0.2799980640411377	14
G62.02	3	ES	9723	7.0	0.2800259590148926	17
G62.02	3	ES	18826	5.0	0.5519778728485107	22
G62.02	3	ES	4886	7.0	0.11087274551391602	12
G62.02	3	ES	16990	4.0	0.4960000514984131	20
G62.02	3	ES	12724	4.0	0.3680000305175781	19
G62.02	3	ES	5442	6.0	0.12799787521362305	17
G62.02	3	ES	10276	7.0	0.2960028648376465	18
G62.02	3	ES	4847	6.0	0.11200308799743652	18
G62.02	3	EPNES	4509	6.0	0.1519935131072998	18
G62.02	3	EPNES	6483	5.0	0.21602511405944824	19
G62.02	3	EPNES	5323	5.0	0.1679995059967041	19
G62.02	3	EPNES	6610	6.0	0.19198083877563477	21
G62.02	3	EPNES	4643	4.0	0.14604926109313965	22
G62.02	3	EPNES	4820	4.0	0.15197968482971191	22
G62.02	3	EPNES	5085	6.0	0.15999960899353027	16
G62.02	3	EPNES	4202	6.0	0.13599228858947754	23
G62.02	3	EPNES	4901	5.0	0.16000843048095703	15
G62.02	3	EPNES	5841	5.0	0.18400263786315918	21
G62.02	4	BF	5666	7.0	0.14399504661560059	22
G62.02	4	BF	6287	9.0	0.15999603271484375	18
G62.02	4	BF	4834	4.0	0.1600034236907959	23
G62.02	4	BF	6199	6.0	0.16802358627319336	21
G62.02	4	BF	7213	4.0	0.20000171661376953	23
G62.02	4	BF	7074	7.0	0.21597623825073242	21
G62.02	4	BF	5488	7.0	0.1520223617553711	19
G62.02	4	BF	6548	6.0	0.17599964141845703	21
G62.02	4	BF	4845	7.0	0.1360006332397461	24
G62.02	4	BF	6624	6.0	0.15999889373779297	20
G62.02	4	G	18444	5.0	0.47870922088623047	10
G62.02	4	G	18444	6.0	0.4560270309448242	10
G62.02	4	G	24592	5.0	0.6239743232727051	14
G62.02	4	G	21518	4.0	0.5120007991790771	12
G62.02	4	G	21518	6.0	0.5840010643005371	12
G62.02	4	G	19981	5.0	0.4880220890045166	11
G62.02	4	G	18444	7.0	0.4079782962799072	10
G62.02	4	G	16907	9.0	0.38402462005615234	9
G62.02	4	G	18444	7.0	0.44000864028930664	10
G62.02	4	G	21518	8.0	0.5359675884246826	12
G62.02	4	EBF	5482	8.0	0.13602280616760254	20
G62.02	4	EBF	7332	4.0	0.2327868938446045	27
G62.02	4	EBF	6272	5.0	0.18399524688720703	19
G62.02	4	EBF	5930	7.0	0.15279245376586914	19
G62.02	4	EBF	6684	7.0	0.18400216102600098	24
